5319	מס' מיון	שם הספר	שם המחבר	הוצאה	כרך	מס' עתי'	Date	Initials	Is Bound	Comments	קטיגורי	מס׳ מדף							
		ספר כור ההלכה - סימנים -- א-מ״ה	בוק, יהושע	מפעל ההלכה הארצי	א		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- מ״ו-קכ״ז	בוק, יהושע	מפעל ההלכה הארצי	ב		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- קכ״ח-קס״ח	בוק, יהושע	מפעל ההלכה הארצי	ג		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- קס״ט-רמ״א	בוק, יהושע	מפעל ההלכה הארצי	ד		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- רמ״ב-ש״ז	בוק, יהושע	מפעל ההלכה הארצי	ה		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- ש״ח-שד״מ	בוק, יהושע	מפעל ההלכה הארצי	ו		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- שמ״ה-תכ״ח	בוק, יהושע	מפעל ההלכה הארצי	ז		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- תכ״ט- תס״ז	בוק, יהושע	מפעל ההלכה הארצי	ח	2	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- תכ״ט- תס״ז	בוק, יהושע	מפעל ההלכה הארצי	ח		5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
		ספר כור ההלכה - סימנים -- תס״ח-תקב״ט	בוק, יהושע	מפעל ההלכה הארצי	ט	2	5/26/2021	AL	FALSE		הלכה - אחרונים כללי וסטים	1.2							
